fid,COD_USO,DES_USO,Shape_Leng,Shape_Area,_N,_SIOSE,_COD_SIOSE,_Usos MUCV,_COD_NUEVO,AREA_POLIG,USOS_DEFIN,USOS_GENER,COD_GENERA,COD_PRESIO,NOMBRE_HUM,COD_IHA,USOShum_ha,HUM_ha,BUF_ha
20892,131,"AUTOVIAS, AUTOPISTAS Y ENLACES VIARIOS",2464.079598010000609,53705.480960129760206,17,INFRAESTRUCTURAS DE COMUNICACIONES,"2004","Vial, aparcamiento o zona peatonal sin vegetacion",3,53705.481,Infraestructuras de comunicaciones,Urbano e infraestructuras,1,5,Ribera de la Algaida,IHA611010,5.370548,0.047734000,5.322814
24239,155,ZONAS EN CONSTRUCCION,1132.183916819999922,71204.942601788789034,83,ZONAS EN CONSTRUCCION,NA,Zonas en construccion,24,71204.943,Zonas en construccion,Urbano e infraestructuras,1,4,Ribera de la Algaida,IHA611010,7.120494,0.000000000,7.120494
441875,931,"PLAYAS, DUNAS Y ARENALES",9974.108781389999422,141289.472950272203889,79,"PLAYAS, DUNAS Y ARENALES","9312",Dunas y arenales costeros,22,141289.473,"Playas, dunas y arenales",Cobertura vegetal y suelos,5,1,Ribera de la Algaida,IHA611010,14.128947,2.726028000,11.402919
385594,915,MATORRAL DISPERSO CON PASTIZAL,14108.493038000000524,115099.070429960498586,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,115099.070,Vegetacion natural,Cobertura vegetal y suelos,5,1,Barranco del Agua,IHA614023,221.954914,15.029739000,206.925175
159345,473,CULTIVOS HERBACEOS Y VEGETACION NATURAL LEÃ‘OSA,2857.292767930000082,17175.474387118592858,92,CULTIVOS HERBACEOS Y VEGETACION NATURAL LEÑOSA,NA,CULTIVOS HERBACEOS Y VEGETACION NATURAL LEÑOSA,19,17175.474,Areas agrarias heterogeneas,Agrario,4,3,Barranco del Agua,IHA614023,69.847398,0.360272000,69.487126
68530,411,CULTIVOS HERBACEOS EN SECANO,196311.936688999994658,164851.573536717856769,85,CULTIVOS HERBACEOS EN SECANO,NA,CULTIVOS HERBACEOS EN SECANO,18,164851.574,Cultivos herbaceos,Agrario,4,3,Barranco del Agua,IHA614023,40.470042,0.000000000,40.470042
63665,411,CULTIVOS HERBACEOS EN SECANO,1028.359737759999916,20665.288720715871023,85,CULTIVOS HERBACEOS EN SECANO,NA,CULTIVOS HERBACEOS EN SECANO,18,20665.289,Cultivos herbaceos,Agrario,4,3,Humedales de Baza,IHA614025,80.879998,1.082251000,79.797747
130803,433,CULTIVOS LEÃ‘OSOS REGADOS: OLIVOS,559.682056006000039,15506.806770506809698,59,OLIVOS EN REGADiO,"4102",Mosaico de cultivos leñosos,15,15506.807,Leñoso regadio,Agrario,4,3,Humedales de Baza,IHA614025,1.550681,0.000000000,1.550681
140302,441,CULTIVOS HERBACEOS Y LEÃ‘OSOS EN SECANO,2203.637095370000225,118318.184778531256597,88,CULTIVOS HERBACEOS Y LEÑOSOS EN SECANO,NA,CULTIVOS HERBACEOS Y LEÑOSOS EN SECANO,19,118318.185,Areas agrarias heterogeneas,Agrario,4,3,Humedales de Baza,IHA614025,294.681658,3.168387000,291.513271
11780,117,URBANIZACIONES AGRICOLA / RESIDENCIALES,316.521324117000006,6847.218857759551611,9,URBANIZACIONES AGRICOLA / RESIDENCIALES,"117",Agricola residencial,1,6847.219,Tejido urbano,Urbano e infraestructuras,1,5,Humedales de Baza,IHA614025,1.643452,0.000000000,1.643452
