"NOMBRE_HUM"	"MUCVA_C_ES"	"MUCVA_T_ES"	"SIOSE_C_ES"	"SIOSE_T_ES"	"n"
"119"	"Cola del Embalse del NegratiÃ‚Â­n"	"24"	"Zonas en construccion"	"20"	"Vegetacion natural"	1
"120"	"Humedales de Baza"	"18"	"Cultivos herbaceos"	"13"	"Masas de agua artificial"	1
"121"	"Humedales de Baza"	"18"	"Cultivos herbaceos"	"14"	"Lenoso secano"	6
"122"	"Humedales de Baza"	"18"	"Cultivos herbaceos"	"18"	"Cultivos herbaceos"	10
"123"	"Humedales de Baza"	"18"	"Cultivos herbaceos"	"20"	"Vegetacion natural"	1
"124"	"Humedales de Baza"	"18"	"Cultivos herbaceos"	"23"	"Areas con fuertes procesos erosivos"	3
"125"	"Humedales de Baza"	"19"	"Areas agrarias heterogeneas"	"3"	"Infraestructuras de comunicaciones"	2
"126"	"Humedales de Baza"	"19"	"Areas agrarias heterogeneas"	"14"	"Lenoso secano"	18
"127"	"Humedales de Baza"	"19"	"Areas agrarias heterogeneas"	"15"	"Lenoso regadio"	2
"128"	"Humedales de Baza"	"19"	"Areas agrarias heterogeneas"	"18"	"Cultivos herbaceos"	26
"129"	"Humedales de Baza"	"19"	"Areas agrarias heterogeneas"	"19"	"Areas agrarias heterogeneas"	2
"130"	"Humedales de Baza"	"19"	"Areas agrarias heterogeneas"	"20"	"Vegetacion natural"	4
"131"	"Humedales de Baza"	"19"	"Areas agrarias heterogeneas"	"23"	"Areas con fuertes procesos erosivos"	1
"132"	"Humedales de Baza"	"20"	"Vegetacion natural"	"14"	"Lenoso secano"	1
"133"	"Humedales de Baza"	"20"	"Vegetacion natural"	"15"	"Lenoso regadio"	1
"134"	"Humedales de Baza"	"20"	"Vegetacion natural"	"18"	"Cultivos herbaceos"	6
"135"	"Humedales de Baza"	"20"	"Vegetacion natural"	"20"	"Vegetacion natural"	10
"136"	"Laguna de la Gravera"	"5"	"Zonas mineras, escombreras o de vertido"	"1"	"Tejido urbano"	10
"137"	"Laguna de la Gravera"	"8"	"Salinas"	"1"	"Tejido urbano"	1
"138"	"Laguna de la Gravera"	"8"	"Salinas"	"3"	"Infraestructuras de comunicaciones"	1
"139"	"Laguna de la Gravera"	"8"	"Salinas"	"7"	"Marisma"	1
"140"	"Laguna de la Gravera"	"8"	"Salinas"	"8"	"Salinas"	33
"141"	"Laguna de la Gravera"	"20"	"Vegetacion natural"	"1"	"Tejido urbano"	2
"142"	"Laguna de la Gravera"	"20"	"Vegetacion natural"	"3"	"Infraestructuras de comunicaciones"	3
"143"	"Laguna de la Gravera"	"20"	"Vegetacion natural"	"8"	"Salinas"	6
"144"	"Laguna de la Gravera"	"20"	"Vegetacion natural"	"12"	"Lagos y lagunas"	2
"145"	"Laguna de la Gravera"	"20"	"Vegetacion natural"	"13"	"Masas de agua artificial"	3
"146"	"Laguna de la Gravera"	"20"	"Vegetacion natural"	"20"	"Vegetacion natural"	16
"147"	"Laguna de la Gravera"	"20"	"Vegetacion natural"	"23"	"Areas con fuertes procesos erosivos"	3
"148"	"Laguna de la Gravera"	"24"	"Zonas en construccion"	"1"	"Tejido urbano"	1
"149"	"Laguna de la Gravera"	"24"	"Zonas en construccion"	"6"	"Zonas verdes y espacios de ocio"	11
"150"	"Rambla Morales"	"9"	"Mares y oceanos"	"9"	"Mares y oceanos"	8
"151"	"Rambla Morales"	"11"	"Vegetacion riparia"	"7"	"Marisma"	2
"152"	"Rambla Morales"	"11"	"Vegetacion riparia"	"10"	"Rios, cauces o ramblas"	3
"153"	"Rambla Morales"	"11"	"Vegetacion riparia"	"11"	"Vegetacion riparia"	1
"154"	"Rambla Morales"	"18"	"Cultivos herbaceos"	"6"	"Zonas verdes y espacios de ocio"	1
"155"	"Rambla Morales"	"18"	"Cultivos herbaceos"	"17"	"Invernaderos"	2
"156"	"Rambla Morales"	"18"	"Cultivos herbaceos"	"22"	"Playas, dunas y arenales"	2
"157"	"Rambla Morales"	"20"	"Vegetacion natural"	"22"	"Playas, dunas y arenales"	18
"158"	"Rambla Morales"	"22"	"Playas, dunas y arenales"	"7"	"Marisma"	1
"159"	"Rambla Morales"	"22"	"Playas, dunas y arenales"	"22"	"Playas, dunas y arenales"	16
