"NOMBRE_HUM"	"MUCVA_C_ES"	"MUCVA_T_ES"	"SIOSE_C_ES"	"SIOSE_T_ES"	"n"
"257"	"Salinas de Cabo de Gata"	"20"	"Vegetacion natural"	"20"	"Vegetacion natural"	25
"258"	"Salinas de Cabo de Gata"	"20"	"Vegetacion natural"	"22"	"Playas, dunas y arenales"	41
"259"	"Salinas de Cabo de Gata"	"22"	"Playas, dunas y arenales"	"22"	"Playas, dunas y arenales"	12
"260"	"Salinas de Cabo de Gata"	"22"	"Playas, dunas y arenales"	"23"	"Areas con fuertes procesos erosivos"	1
"261"	"Salinas de Cabo de Gata"	"24"	"Zonas en construccion"	"1"	"Tejido urbano"	4
"262"	"Salinas de Cerrillos"	"2"	"Zonas industriales y comerciales"	"23"	"Areas con fuertes procesos erosivos"	1
"263"	"Salinas de Cerrillos"	"5"	"Zonas mineras, escombreras o de vertido"	"1"	"Tejido urbano"	3
"264"	"Salinas de Cerrillos"	"5"	"Zonas mineras, escombreras o de vertido"	"6"	"Zonas verdes y espacios de ocio"	1
"265"	"Salinas de Cerrillos"	"5"	"Zonas mineras, escombreras o de vertido"	"8"	"Salinas"	2
"266"	"Salinas de Cerrillos"	"7"	"Marisma"	"3"	"Infraestructuras de comunicaciones"	1
"267"	"Salinas de Cerrillos"	"7"	"Marisma"	"8"	"Salinas"	20
"268"	"Salinas de Cerrillos"	"7"	"Marisma"	"12"	"Lagos y lagunas"	1
"269"	"Salinas de Cerrillos"	"7"	"Marisma"	"17"	"Invernaderos"	1
"270"	"Salinas de Cerrillos"	"8"	"Salinas"	"8"	"Salinas"	126
"271"	"Salinas de Cerrillos"	"11"	"Vegetacion riparia"	"8"	"Salinas"	7
"272"	"Salinas de Cerrillos"	"12"	"Lagos y lagunas"	"8"	"Salinas"	4
"273"	"Salinas de Cerrillos"	"17"	"Invernaderos"	"3"	"Infraestructuras de comunicaciones"	3
"274"	"Salinas de Cerrillos"	"17"	"Invernaderos"	"6"	"Zonas verdes y espacios de ocio"	1
"275"	"Salinas de Cerrillos"	"17"	"Invernaderos"	"13"	"Masas de agua artificial"	2
"276"	"Salinas de Cerrillos"	"17"	"Invernaderos"	"17"	"Invernaderos"	106
"277"	"Salinas de Cerrillos"	"17"	"Invernaderos"	"20"	"Vegetacion natural"	1
"278"	"Salinas de Cerrillos"	"17"	"Invernaderos"	"22"	"Playas, dunas y arenales"	7
"279"	"Salinas de Cerrillos"	"17"	"Invernaderos"	"23"	"Areas con fuertes procesos erosivos"	1
"280"	"Salinas de Cerrillos"	"18"	"Cultivos herbaceos"	"7"	"Marisma"	1
"281"	"Salinas de Cerrillos"	"18"	"Cultivos herbaceos"	"17"	"Invernaderos"	1
"282"	"Salinas de Cerrillos"	"19"	"Areas agrarias heterogeneas"	"8"	"Salinas"	6
"283"	"Salinas de Cerrillos"	"19"	"Areas agrarias heterogeneas"	"22"	"Playas, dunas y arenales"	1
"284"	"Salinas de Cerrillos"	"20"	"Vegetacion natural"	"3"	"Infraestructuras de comunicaciones"	3
"285"	"Salinas de Cerrillos"	"20"	"Vegetacion natural"	"5"	"Zonas mineras, escombreras o de vertido"	1
"286"	"Salinas de Cerrillos"	"20"	"Vegetacion natural"	"7"	"Marisma"	2
"287"	"Salinas de Cerrillos"	"20"	"Vegetacion natural"	"8"	"Salinas"	93
"288"	"Salinas de Cerrillos"	"20"	"Vegetacion natural"	"17"	"Invernaderos"	1
"289"	"Salinas de Cerrillos"	"20"	"Vegetacion natural"	"20"	"Vegetacion natural"	8
"290"	"Salinas de Cerrillos"	"20"	"Vegetacion natural"	"22"	"Playas, dunas y arenales"	10
"291"	"Salinas de Cerrillos"	"20"	"Vegetacion natural"	"23"	"Areas con fuertes procesos erosivos"	5
"292"	"Salinas de Cerrillos"	"22"	"Playas, dunas y arenales"	"8"	"Salinas"	2
"293"	"Salinas de Cerrillos"	"22"	"Playas, dunas y arenales"	"22"	"Playas, dunas y arenales"	3
"294"	"Salinas de Cerrillos"	"24"	"Zonas en construccion"	"1"	"Tejido urbano"	2
"295"	"Salinas de Cerrillos"	"24"	"Zonas en construccion"	"6"	"Zonas verdes y espacios de ocio"	4
