fid,COD_USO,DES_USO,Shape_Leng,Shape_Area,_N,_SIOSE,_COD_SIOSE,_Usos MUCV,_COD_NUEVO,AREA_POLIG,USOS_DEFIN,USOS_GENER,COD_GENERA,COD_PRESIO,areaNAT_m2
35858,317,RIOS Y CAUCES NAT.:OTRAS FORM. RIPARIAS,26136.056825799998478,41384.106588666334574,46,VEGETACION RIPARIA,"317",Rios y cauces nat: otras formas riparias,11,41384.107,Vegetacion riparia,Zonas humedas,3,1,41384.107
189782,520,FOR. ARBOL. DENSA: CONIFERAS,6744.378474729999652,5.287499404512346,60,FOR. ARBOL. DENSA: CONIFERAS,"520",Formacion arbolada: coniferas,20,5.287,Vegetacion natural,Cobertura vegetal y suelos,5,1,5.287
281940,725,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,12821.414480299999923,61114.003015040187165,65,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,"725",Matorral disperso arbolado: coniferas. disperso,20,61114.003,Vegetacion natural,Cobertura vegetal y suelos,5,1,61114.003
281960,725,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,746.352891350000050,3360.678249370306730,65,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,"725",Matorral disperso arbolado: coniferas. disperso,20,3360.678,Vegetacion natural,Cobertura vegetal y suelos,5,1,3360.678
281997,725,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,846.852975751000031,24740.996278204023838,65,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,"725",Matorral disperso arbolado: coniferas. disperso,20,24740.996,Vegetacion natural,Cobertura vegetal y suelos,5,1,24740.996
282037,725,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,951.745592007000027,5252.312015812844948,65,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,"725",Matorral disperso arbolado: coniferas. disperso,20,5252.312,Vegetacion natural,Cobertura vegetal y suelos,5,1,5252.312
282042,725,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,3887.664684830000169,40845.693855807185173,65,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,"725",Matorral disperso arbolado: coniferas. disperso,20,40845.694,Vegetacion natural,Cobertura vegetal y suelos,5,1,40845.694
324364,825,PASTIZAL ARBOLADO: CONIFERAS. DISPERSO,1263.086701720000065,39793.094356683315709,69,PASTIZAL ARBOLADO: CONIFERAS. DISPERSO,"825",Pastizal arbolado: coniferas. disperso,20,39793.094,Vegetacion natural,Cobertura vegetal y suelos,5,1,39793.094
324373,825,PASTIZAL ARBOLADO: CONIFERAS. DISPERSO,11526.215625099999670,675886.697821066831239,69,PASTIZAL ARBOLADO: CONIFERAS. DISPERSO,"825",Pastizal arbolado: coniferas. disperso,20,675886.698,Vegetacion natural,Cobertura vegetal y suelos,5,1,675886.698
382148,915,MATORRAL DISPERSO CON PASTIZAL,45217.139749500005564,140448.040565428556874,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,140448.041,Vegetacion natural,Cobertura vegetal y suelos,5,1,140448.041
382193,915,MATORRAL DISPERSO CON PASTIZAL,1007.296062959999972,34656.949350476264954,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,34656.949,Vegetacion natural,Cobertura vegetal y suelos,5,1,34656.949
382239,915,MATORRAL DISPERSO CON PASTIZAL,242.158933163999990,2797.969244240666740,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,2797.969,Vegetacion natural,Cobertura vegetal y suelos,5,1,2797.969
382827,915,MATORRAL DISPERSO CON PASTIZAL,16937.960920400000759,346833.918960092240013,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,346833.919,Vegetacion natural,Cobertura vegetal y suelos,5,1,346833.919
382918,915,MATORRAL DISPERSO CON PASTIZAL,62380.122712600001250,538978.514860666822642,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,538978.515,Vegetacion natural,Cobertura vegetal y suelos,5,1,538978.515
408408,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,1325.430034239999941,28054.910569603904150,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,28054.911,Vegetacion natural,Cobertura vegetal y suelos,5,1,28054.911
