id,NOMBRE_HUM,FIGURA,GRUPO_TIPO,COD_IHA,PROPIEDAD,ZONA,ENP,CODIGO_UE1,NOM_ANEXO1,LEYENDA_1,CODIGO_UE2,LEYENDA_2,CODIGO_UE3,LEYENDA_3,CODIGO_UE4,LEYENDA_4,_COD_NUEVO,USOS_DEFIN,USOS_GENER,COD_GENERA
484,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,1,"2120",Dunas moviles de litoral con Ammophila arenaria (dunas blancas),Habitat UE,"2230",Habitat UE,"-1","-","-1","-",7,Marisma,Zonas humedas,3
581,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
577,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,1,,,,,,,,,,7,Marisma,Zonas humedas,3
1434,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,1,,,,,,,,,,7,Marisma,Zonas humedas,3
1561,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,1,,,,,,,,,,7,Marisma,Zonas humedas,3
1451,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Buffer,1,,,,,,,,,,7,Marisma,Zonas humedas,3
641,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
532,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
522,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
550,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
591,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
466,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,7,Marisma,Zonas humedas,3
1916,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1750,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1482,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1483,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1519,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1626,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1640,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1709,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1725,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1787,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1789,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1859,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1895,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1522,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1450,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1527,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1463,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1846,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,Zonas humedas,3
1583,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,7,Marisma,Zonas humedas,3
1629,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,7,Marisma,Zonas humedas,3
1631,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,7,Marisma,Zonas humedas,3
1644,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Buffer,1,,,,,,,,,,7,Marisma,Zonas humedas,3
1817,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,7,Marisma,Zonas humedas,3
1823,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Buffer,1,,,,,,,,,,7,Marisma,Zonas humedas,3
1441,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",8,Salinas,Zonas humedas,3
1643,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",8,Salinas,Zonas humedas,3
1829,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",8,Salinas,Zonas humedas,3
1696,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",8,Salinas,Zonas humedas,3
1523,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",8,Salinas,Zonas humedas,3
1815,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",8,Salinas,Zonas humedas,3
1481,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",8,Salinas,Zonas humedas,3
1586,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",8,Salinas,Zonas humedas,3
1661,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",8,Salinas,Zonas humedas,3
1756,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",8,Salinas,Zonas humedas,3
1894,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",8,Salinas,Zonas humedas,3
1608,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",8,Salinas,Zonas humedas,3
741,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
747,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
748,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
749,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
750,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
758,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
759,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
761,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Buffer,1,,,,,,,,,,8,Salinas,Zonas humedas,3
764,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
766,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
769,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
772,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
773,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
775,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Buffer,1,,,,,,,,,,8,Salinas,Zonas humedas,3
778,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
783,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
784,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
786,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
1437,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
1439,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
1442,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
1448,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
1504,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Buffer,1,,,,,,,,,,8,Salinas,Zonas humedas,3
1505,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,Zonas humedas,3
