id,NOMBRE_HUM,FIGURA,GRUPO_TIPO,COD_IHA,PROPIEDAD,ZONA,ENP,CODIGO_UE1,NOM_ANEXO1,LEYENDA_1,CODIGO_UE2,LEYENDA_2,CODIGO_UE3,LEYENDA_3,CODIGO_UE4,LEYENDA_4,M_C_E_NAT,M_T_E_NAT,M_C_G_NAT,M_T_G_NAT,MUCVA_C_ES,MUCVA_T_ES,MUCVA_C_GE,MUCVA_T_GE,MUCVA_PRES,SIOSE_C_ES,SIOSE_T_ES,SIOSE_C_GE,SIOSE_T_GE,SIOSE_PRES,SIOSE_C_RI,SIOSE_T_RI,hic_p_tn,hic_np_tn,HIC_1,HIC_2,hic_num_t,HIC_3,HIC_4,HIC_5,HIC_6
1264,Salinas de Cabo de Gata,Parque Natural,Costeros,IHA611009,Privada,Buffer,1,"6220",Zonas subestepicas de gramineas y anuales del Thero-Brachypodietea,Habitat Prioritario UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,1,1430_90,62200_10,2,,,,
1266,Salinas de Cabo de Gata,Parque Natural,Costeros,IHA611009,Privada,Buffer,1,"6220",Zonas subestepicas de gramineas y anuales del Thero-Brachypodietea,Habitat Prioritario UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,1,1430_90,62200_10,2,,,,
1315,Salinas de Cabo de Gata,Parque Natural,Costeros,IHA611009,Privada,Buffer,1,"6220",Zonas subestepicas de gramineas y anuales del Thero-Brachypodietea,Habitat Prioritario UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,1,1430_90,62200_10,2,,,,
1349,Salar de los Canos,,Costeros,IHA611018,Privada,Buffer,0,"5330",Matorrales termomediterraneos y pre-estepicos,Habitat UE,"1430",Habitat UE,"-1","-","-1","-",,,,,18,Cultivos herbaceos,4,Agrario,3,23,Areas con fuertes procesos erosivos,5,Cobertura vegetal y suelos,1,23,Areas con fuerte,1,2,62201_27,53305_24,4,53304_24,1430_5,,
1353,Salar de los Canos,,Costeros,IHA611018,Privada,Buffer,0,"5330",Matorrales termomediterraneos y pre-estepicos,Habitat UE,"1430",Habitat UE,"-1","-","-1","-",,,,,18,Cultivos herbaceos,4,Agrario,3,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,2,62201_27,53305_24,4,53304_24,1430_5,,
1372,Salar de los Canos,,Costeros,IHA611018,Privada,Buffer,0,"5330",Matorrales termomediterraneos y pre-estepicos,Habitat UE,"1430",Habitat UE,"-1","-","-1","-",,,,,18,Cultivos herbaceos,4,Agrario,3,23,Areas con fuertes procesos erosivos,5,Cobertura vegetal y suelos,1,23,Areas con fuerte,1,2,62201_27,53305_24,4,53304_24,1430_5,,
1408,Salar de los Canos,,Costeros,IHA611018,Privada,Buffer,0,"5330",Matorrales termomediterraneos y pre-estepicos,Habitat UE,"1430",Habitat UE,"-1","-","-1","-",,,,,18,Cultivos herbaceos,4,Agrario,3,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,2,62201_27,53305_24,4,53304_24,1430_5,,
1414,Salar de los Canos,,Costeros,IHA611018,Privada,Buffer,0,"6220",Zonas subestepicas de gramineas y anuales del Thero-Brachypodietea,Habitat Prioritario UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,1,Tejido urbano,1,Urbano e infraestructuras,5,1,Tejido urbano,1,0,62201_24,62200_24,2,,,,
684,Humedales de Baza,,Interiores,IHA614025,Privada,Humedal,0,"1430",Matorrales halo-nitrofilos (Pegano-Salsoletea),Habitat UE,"1510",Habitat Prioritario UE,"1410",Habitat UE,"-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,0,62201_72,,1,,,,
306,Cola del Embalse del NegratiÂ­n,,Interiores,IHA614010,Publica,Buffer,0,"4090",Brezales oromediterraneos endemicos con aliaga,Habitat UE,"9540",Habitat UE,"-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,2,5210_90,40901_5,3,62201_5,,,
